hashtags,text,user,location,time
"['picoftheday', 'optoutside', 'photography', 'minimal', 'football']",don't quit... keep going // give Him your best,Strawberry24X7,Union High School,Thu Oct 25 04:00:09 +0000 2018
[],"Greetings! Itâ€™s :01 AM, which means it is officially Tackle Football Game Day! Oh to the Yeah! Rock &amp; Roll baby!â€_",coachcraw4d,"Newport, TN",Thu Oct 25 04:01:05 +0000 2018
[],Iâ€™m hoping this years UT basketball team can heal the deep scars our football team has caused me cuz ya girl is HURT,hflvolley22,"Tennessee, USA",Thu Oct 25 04:01:15 +0000 2018
[],"Proud of bro , we came from where itâ€™s hard to make it with zero to little opportunity. Keep striving bro Iâ€™m readyâ€_",AlmightyCori__,"Magnolia, AR",Thu Oct 25 04:03:16 +0000 2018
[],"if your girl watches you play video games, gose to your football games, wears your jerseys &amp; jams out to the same mâ€_",2christianf,"Las Cruces, NM",Thu Oct 25 04:03:57 +0000 2018
"['fall', 'middleschool', 'football']",Covered a little action for my cousin today. Photo by: â€_,BrianSevald,"Royal Oak, MI",Thu Oct 25 04:04:10 +0000 2018
[],aw man my mom needs her car tomorrow morning so i can't go to football practice. guess ill have to sleep for ten hoâ€_,hitemwiththe4,"Pittsburgh, PA",Thu Oct 25 04:06:01 +0000 2018
[],Love hearing about &amp; telling the stories of athletesâ€™ other talents &amp; passions that people donâ€™t always see as muchâ€_,JeritRoser,"Baton Rouge, LA",Thu Oct 25 04:06:53 +0000 2018
[],But God forbid he kneel during the anthem because then heâ€™d be unemployable.,scottsimonsWVLA,"West Hollywood, CA",Thu Oct 25 04:07:49 +0000 2018
[],When you look good you cheer good! Lady Jagsdid a fantastic job cheering our football team for thâ€_,JohnEarlyMMM,Pearl Cohn High School,Thu Oct 25 04:08:39 +0000 2018
['Abondneverbroken'],I consider my whole football team as my brothersbest believe it's us against you.,fishlips70,"San Antonio, TX",Thu Oct 25 04:09:24 +0000 2018
